Task ID, Job ID, Arrival min, Arrival max, Cost min, Cost max, Deadline, Priority
0,0,0,0,1,1,119,11
0,1,0,0,1,1,119,11
0,2,0,0,1,1,119,11
0,3,0,0,1,1,119,11
0,4,0,0,1,1,119,11
1,5,0,0,1,1,37,4
1,6,0,0,1,1,37,4
1,7,0,0,1,1,37,4
1,8,0,0,1,1,37,4
1,9,0,0,1,1,37,4
2,10,0,0,1,1,24,3
2,11,0,0,1,1,24,3
2,12,0,0,1,1,24,3
2,13,0,0,1,1,24,3
2,14,0,0,1,1,24,3
3,15,0,0,2,5,952,20
3,16,0,0,2,5,952,20
3,17,0,0,1,2,952,20
3,18,0,0,1,1,952,20
3,19,0,0,3,6,952,20
4,20,0,0,1,1,15,1
4,21,0,0,1,1,15,1
4,22,0,0,1,1,15,1
4,23,0,0,1,1,15,1
4,24,0,0,1,1,15,1
5,25,0,0,1,1,77,10
5,26,0,0,1,1,77,10
5,27,0,0,1,1,77,10
5,28,0,0,1,1,77,10
5,29,0,0,1,1,77,10
6,30,0,0,1,2,371,15
6,31,0,0,1,1,371,15
6,32,0,0,1,2,371,15
6,33,0,0,1,1,371,15
6,34,0,0,1,2,371,15
7,35,0,0,1,2,210,13
7,36,0,0,2,4,210,13
7,37,0,0,3,6,210,13
7,38,0,0,2,3,210,13
7,39,0,0,2,5,210,13
8,40,0,0,1,2,630,18
8,41,0,0,1,2,630,18
8,42,0,0,1,2,630,18
8,43,0,0,1,1,630,18
8,44,0,0,1,2,630,18
9,45,0,0,1,1,662,19
9,46,0,0,1,1,662,19
9,47,0,0,1,1,662,19
9,48,0,0,1,1,662,19
9,49,0,0,1,1,662,19
10,50,0,0,1,1,64,9
10,51,0,0,1,1,64,9
10,52,0,0,1,1,64,9
10,53,0,0,1,1,64,9
10,54,0,0,1,1,64,9
11,55,0,0,1,1,601,17
11,56,0,0,1,2,601,17
11,57,0,0,2,5,601,17
11,58,0,0,2,4,601,17
11,59,0,0,2,5,601,17
12,60,0,0,1,2,453,16
12,61,0,0,1,1,453,16
12,62,0,0,1,2,453,16
12,63,0,0,1,2,453,16
12,64,0,0,1,2,453,16
13,65,0,0,1,1,41,7
13,66,0,0,1,1,41,7
13,67,0,0,1,1,41,7
13,68,0,0,1,1,41,7
13,69,0,0,1,1,41,7
14,70,0,0,1,1,48,8
14,71,0,0,1,1,48,8
14,72,0,0,1,1,48,8
14,73,0,0,1,1,48,8
14,74,0,0,1,1,48,8
15,75,0,0,1,1,38,6
15,76,0,0,1,1,38,6
15,77,0,0,1,1,38,6
15,78,0,0,1,1,38,6
15,79,0,0,1,1,38,6
16,80,0,0,1,2,259,14
16,81,0,0,1,1,259,14
16,82,0,0,1,1,259,14
16,83,0,0,1,1,259,14
16,84,0,0,1,1,259,14
17,85,0,0,1,1,37,5
17,86,0,0,1,1,37,5
17,87,0,0,1,1,37,5
17,88,0,0,1,1,37,5
17,89,0,0,1,1,37,5
18,90,0,0,1,1,126,12
18,91,0,0,1,1,126,12
18,92,0,0,1,1,126,12
18,93,0,0,1,1,126,12
18,94,0,0,1,1,126,12
19,95,0,0,1,1,20,2
19,96,0,0,1,1,20,2
19,97,0,0,1,1,20,2
19,98,0,0,1,1,20,2
19,99,0,0,1,1,20,2
