Predecessor TID, Predecessor JID, Successor TID, Successor JID, Sus min, Sus max
0,0,0,1,0,0
0,1,0,2,0,0
0,2,0,3,0,1
0,3,0,4,0,0
1,5,1,6,8,17
1,6,1,7,0,1
1,7,1,8,24,48
1,8,1,9,11,22
2,10,2,11,0,1
2,11,2,12,0,1
2,12,2,13,0,1
2,13,2,14,0,0
3,15,3,16,4,9
3,16,3,17,2,4
3,17,3,18,0,1
3,18,3,19,7,14
4,20,4,21,2,5
4,21,4,22,16,32
4,22,4,23,6,12
4,23,4,24,4,8
5,25,5,26,5,10
5,26,5,27,3,6
5,27,5,28,3,6
5,28,5,29,1,2
6,30,6,31,0,0
6,31,6,32,0,0
6,32,6,33,0,0
6,33,6,34,0,0
7,35,7,36,0,1
7,36,7,37,2,3
7,37,7,38,2,4
7,38,7,39,2,4
8,40,8,41,0,1
8,41,8,42,0,1
8,42,8,43,0,0
8,43,8,44,0,1
9,45,9,46,20,39
9,46,9,47,10,19
9,47,9,48,8,15
9,48,9,49,0,0
10,50,10,51,0,0
10,51,10,52,0,1
10,52,10,53,0,0
10,53,10,54,0,0
11,55,11,56,7,14
11,56,11,57,12,25
11,57,11,58,8,17
11,58,11,59,16,31
12,60,12,61,9,18
12,61,12,62,4,9
12,62,12,63,8,16
12,63,12,64,17,34
13,65,13,66,0,0
13,66,13,67,7,14
13,67,13,68,8,15
13,68,13,69,5,10
14,70,14,71,4,9
14,71,14,72,16,32
14,72,14,73,12,25
14,73,14,74,2,5
15,75,15,76,0,1
15,76,15,77,0,0
15,77,15,78,1,2
15,78,15,79,1,2
16,80,16,81,0,0
16,81,16,82,0,1
16,82,16,83,0,0
16,83,16,84,0,0
17,85,17,86,4,9
17,86,17,87,2,3
17,87,17,88,6,13
17,88,17,89,12,25
18,90,18,91,2,3
18,91,18,92,0,1
18,92,18,93,0,0
18,93,18,94,2,5
19,95,19,96,1,2
19,96,19,97,2,3
19,97,19,98,0,1
19,98,19,99,0,1
