Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 14, 29, 14, 29
0, 1, 17, 34, 17, 34
0, 2, 21, 41, 21, 41
0, 3, 24, 46, 24, 46
0, 4, 27, 50, 27, 50
1, 5, 5, 6, 5, 6
1, 6, 6, 8, 6, 8
1, 7, 7, 9, 7, 9
1, 8, 8, 10, 8, 10
1, 9, 9, 11, 9, 11
2, 10, 11, 15, 11, 15
2, 11, 12, 16, 12, 16
2, 12, 13, 19, 13, 19
2, 13, 14, 22, 14, 22
2, 14, 15, 24, 15, 24
3, 15, 7, 10, 7, 10
3, 16, 8, 11, 8, 11
3, 17, 9, 12, 9, 12
3, 18, 10, 13, 10, 13
3, 19, 11, 14, 11, 14
4, 20, 10, 15, 10, 15
4, 21, 16, 25, 16, 25
4, 22, 18, 29, 18, 29
4, 23, 21, 35, 21, 35
4, 24, 22, 37, 22, 37
5, 25, 6, 7, 6, 7
5, 26, 7, 9, 7, 9
5, 27, 8, 10, 8, 10
5, 28, 9, 11, 9, 11
5, 29, 10, 12, 10, 12
6, 30, 13, 25, 13, 25
6, 31, 14, 28, 14, 28
6, 32, 15, 29, 15, 29
6, 33, 16, 30, 16, 30
6, 34, 17, 32, 17, 32
7, 35, 1, 1, 1, 1
7, 36, 2, 2, 2, 2
7, 37, 3, 3, 3, 3
7, 38, 4, 5, 4, 5
7, 39, 5, 7, 5, 7
8, 40, 7, 11, 7, 11
8, 41, 10, 12, 10, 12
8, 42, 11, 14, 11, 14
8, 43, 12, 15, 12, 15
8, 44, 13, 17, 13, 17
9, 45, 6, 7, 6, 7
9, 46, 7, 8, 7, 8
9, 47, 8, 9, 8, 9
9, 48, 9, 11, 9, 11
9, 49, 10, 13, 10, 13
10, 50, 1, 1, 1, 1
10, 51, 2, 2, 2, 2
10, 52, 3, 3, 3, 3
10, 53, 4, 4, 4, 4
10, 54, 5, 5, 5, 5
11, 55, 12, 19, 12, 19
11, 56, 13, 23, 13, 23
11, 57, 15, 27, 15, 27
11, 58, 19, 35, 19, 35
11, 59, 22, 40, 22, 40
12, 60, 12, 23, 12, 23
12, 61, 14, 27, 14, 27
12, 62, 15, 28, 15, 28
12, 63, 16, 30, 16, 30
12, 64, 17, 31, 17, 31
13, 65, 4, 6, 4, 6
13, 66, 5, 7, 5, 7
13, 67, 6, 8, 6, 8
13, 68, 7, 9, 7, 9
13, 69, 8, 10, 8, 10
14, 70, 1, 1, 1, 1
14, 71, 2, 2, 2, 2
14, 72, 3, 3, 3, 3
14, 73, 4, 4, 4, 4
14, 74, 5, 6, 5, 6
15, 75, 12, 16, 12, 16
15, 76, 13, 20, 13, 20
15, 77, 14, 24, 14, 24
15, 78, 15, 26, 15, 26
15, 79, 16, 28, 16, 28
16, 80, 6, 8, 6, 8
16, 81, 7, 10, 7, 10
16, 82, 8, 11, 8, 11
16, 83, 9, 12, 9, 12
16, 84, 12, 16, 12, 16
17, 85, 1, 1, 1, 1
17, 86, 2, 2, 2, 2
17, 87, 3, 3, 3, 3
17, 88, 4, 4, 4, 4
17, 89, 5, 5, 5, 5
18, 90, 7, 12, 7, 12
18, 91, 10, 14, 10, 14
18, 92, 11, 15, 11, 15
18, 93, 12, 16, 12, 16
18, 94, 13, 19, 13, 19
19, 95, 1, 1, 1, 1
19, 96, 2, 2, 2, 2
19, 97, 3, 3, 3, 3
19, 98, 4, 4, 4, 4
19, 99, 5, 5, 5, 5
