Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 11, 33, 11, 33
0, 1, 17, 45, 17, 45
0, 2, 20, 52, 20, 52
0, 3, 22, 56, 22, 56
0, 4, 26, 62, 26, 62
1, 5, 6, 10, 6, 10
1, 6, 7, 16, 7, 16
1, 7, 8, 19, 8, 19
1, 8, 9, 23, 9, 23
1, 9, 12, 32, 12, 32
2, 10, 5, 7, 5, 7
2, 11, 6, 8, 6, 8
2, 12, 7, 9, 7, 9
2, 13, 8, 11, 8, 11
2, 14, 9, 16, 9, 16
3, 15, 3, 7, 3, 7
3, 16, 5, 9, 5, 9
3, 17, 8, 15, 8, 15
3, 18, 11, 21, 11, 21
3, 19, 12, 26, 12, 26
4, 20, 11, 43, 11, 43
4, 21, 13, 47, 13, 47
4, 22, 16, 52, 16, 52
4, 23, 19, 57, 19, 57
4, 24, 21, 61, 21, 61
5, 25, 7, 12, 7, 12
5, 26, 8, 16, 8, 16
5, 27, 9, 19, 9, 19
5, 28, 10, 22, 10, 22
5, 29, 11, 24, 11, 24
6, 30, 1, 1, 1, 1
6, 31, 2, 2, 2, 2
6, 32, 3, 3, 3, 3
6, 33, 4, 4, 4, 4
6, 34, 5, 5, 5, 5
7, 35, 1, 1, 1, 1
7, 36, 2, 3, 2, 3
7, 37, 3, 5, 3, 5
7, 38, 4, 7, 4, 7
7, 39, 5, 8, 5, 8
8, 40, 9, 17, 9, 17
8, 41, 13, 27, 13, 27
8, 42, 15, 34, 15, 34
8, 43, 16, 38, 16, 38
8, 44, 19, 45, 19, 45
9, 45, 1, 1, 1, 1
9, 46, 2, 2, 2, 2
9, 47, 3, 3, 3, 3
9, 48, 4, 4, 4, 4
9, 49, 5, 6, 5, 6
10, 50, 1, 1, 1, 1
10, 51, 2, 2, 2, 2
10, 52, 3, 4, 3, 4
10, 53, 4, 6, 4, 6
10, 54, 5, 7, 5, 7
11, 55, 9, 22, 9, 22
11, 56, 12, 30, 12, 30
11, 57, 15, 38, 15, 38
11, 58, 16, 41, 16, 41
11, 59, 21, 51, 21, 51
12, 60, 2, 6, 2, 6
12, 61, 3, 7, 3, 7
12, 62, 4, 8, 4, 8
12, 63, 5, 9, 5, 9
12, 64, 6, 10, 6, 10
13, 65, 11, 38, 11, 38
13, 66, 16, 49, 16, 49
13, 67, 20, 56, 20, 56
13, 68, 21, 57, 21, 57
13, 69, 26, 67, 26, 67
14, 70, 7, 14, 7, 14
14, 71, 9, 19, 9, 19
14, 72, 10, 23, 10, 23
14, 73, 11, 27, 11, 27
14, 74, 12, 31, 12, 31
15, 75, 6, 9, 6, 9
15, 76, 7, 11, 7, 11
15, 77, 8, 14, 8, 14
15, 78, 9, 17, 9, 17
15, 79, 10, 19, 10, 19
16, 80, 10, 40, 10, 40
16, 81, 11, 42, 11, 42
16, 82, 12, 44, 12, 44
16, 83, 13, 46, 13, 46
16, 84, 14, 48, 14, 48
17, 85, 9, 26, 9, 26
17, 86, 11, 33, 11, 33
17, 87, 17, 44, 17, 44
17, 88, 19, 48, 19, 48
17, 89, 25, 61, 25, 61
18, 90, 1, 1, 1, 1
18, 91, 2, 2, 2, 2
18, 92, 3, 3, 3, 3
18, 93, 4, 4, 4, 4
18, 94, 5, 5, 5, 5
19, 95, 8, 19, 8, 19
19, 96, 9, 24, 9, 24
19, 97, 12, 31, 12, 31
19, 98, 13, 36, 13, 36
19, 99, 15, 40, 15, 40
