Task ID, Job ID, Arrival min, Arrival max, Cost min, Cost max, Deadline, Priority
0,0,0,0,1,1,23,4
0,1,0,0,1,1,23,4
0,2,0,0,1,1,23,4
0,3,0,0,1,1,23,4
0,4,0,0,1,1,23,4
1,5,0,0,1,1,18,2
1,6,0,0,1,1,18,2
1,7,0,0,1,1,18,2
1,8,0,0,1,1,18,2
1,9,0,0,1,1,18,2
2,10,0,0,1,1,669,16
2,11,0,0,1,1,669,16
2,12,0,0,1,1,669,16
2,13,0,0,1,1,669,16
2,14,0,0,1,1,669,16
3,15,0,0,1,1,173,11
3,16,0,0,1,1,173,11
3,17,0,0,1,2,173,11
3,18,0,0,1,1,173,11
3,19,0,0,1,2,173,11
4,20,0,0,1,1,94,8
4,21,0,0,1,2,94,8
4,22,0,0,1,1,94,8
4,23,0,0,1,1,94,8
4,24,0,0,1,1,94,8
5,25,0,0,1,1,55,6
5,26,0,0,1,2,55,6
5,27,0,0,1,1,55,6
5,28,0,0,1,1,55,6
5,29,0,0,1,1,55,6
6,30,0,0,1,1,20,3
6,31,0,0,1,1,20,3
6,32,0,0,1,1,20,3
6,33,0,0,1,1,20,3
6,34,0,0,1,1,20,3
7,35,0,0,2,4,242,15
7,36,0,0,3,6,242,15
7,37,0,0,2,4,242,15
7,38,0,0,4,8,242,15
7,39,0,0,2,4,242,15
8,40,0,0,1,1,117,9
8,41,0,0,1,1,117,9
8,42,0,0,1,1,117,9
8,43,0,0,1,1,117,9
8,44,0,0,1,1,117,9
9,45,0,0,1,1,198,13
9,46,0,0,1,1,198,13
9,47,0,0,1,1,198,13
9,48,0,0,1,1,198,13
9,49,0,0,1,1,198,13
10,50,0,0,1,1,179,12
10,51,0,0,1,1,179,12
10,52,0,0,1,1,179,12
10,53,0,0,1,1,179,12
10,54,0,0,1,1,179,12
11,55,0,0,2,3,213,14
11,56,0,0,3,6,213,14
11,57,0,0,1,2,213,14
11,58,0,0,3,6,213,14
11,59,0,0,2,3,213,14
12,60,0,0,2,3,85,7
12,61,0,0,1,2,85,7
12,62,0,0,1,2,85,7
12,63,0,0,2,5,85,7
12,64,0,0,2,3,85,7
13,65,0,0,1,1,43,5
13,66,0,0,1,1,43,5
13,67,0,0,1,1,43,5
13,68,0,0,1,1,43,5
13,69,0,0,1,1,43,5
14,70,0,0,1,2,131,10
14,71,0,0,2,3,131,10
14,72,0,0,1,2,131,10
14,73,0,0,2,3,131,10
14,74,0,0,3,6,131,10
15,75,0,0,1,1,17,1
15,76,0,0,1,1,17,1
15,77,0,0,1,1,17,1
15,78,0,0,1,1,17,1
15,79,0,0,1,1,17,1
