layer,input_states,expanded,merged,k1_ms,k2_ms,merge_ms,cpu_fastpath
0,1,1,1,0.0000,0.0000,0.0000,1
1,1,1,1,0.0000,0.0000,0.0000,1
2,1,1,1,0.0000,0.0000,0.0000,1
3,1,1,1,0.0000,0.0000,0.0000,1
4,1,1,1,0.0000,0.0000,0.0000,1
5,1,1,1,0.0000,0.0000,0.0000,1
6,1,1,1,0.0000,0.0000,0.0000,1
7,1,1,1,0.0000,0.0000,0.0000,1
8,1,1,1,0.0000,0.0000,0.0000,1
9,1,1,1,0.0000,0.0000,0.0000,1
10,1,2,2,0.0000,0.0000,0.0000,1
11,2,3,2,0.0000,0.0000,0.0000,1
12,2,2,2,0.0000,0.0000,0.0000,1
13,2,2,2,0.0000,0.0000,0.0000,1
14,2,2,2,0.0000,0.0000,0.0000,1
15,2,2,2,0.0000,0.0000,0.0000,1
16,2,4,4,0.0000,0.0000,0.0000,1
17,4,7,5,0.0000,0.0000,0.0000,1
18,5,10,6,0.0000,0.0000,0.0000,1
19,6,11,6,0.0000,0.0000,0.0000,1
20,6,7,4,0.0000,0.0000,0.0000,1
21,4,7,4,0.0000,0.0000,0.0000,1
22,4,10,6,0.0000,0.0000,0.0000,1
23,6,14,7,0.0000,0.0000,0.0000,1
24,7,12,9,0.0000,0.0000,0.0000,1
25,9,26,14,0.0000,0.0000,0.0000,1
26,14,41,17,0.0000,0.0000,0.0000,1
27,17,34,19,0.0000,0.0000,0.0000,1
28,19,54,24,0.0000,0.0000,0.0000,1
29,24,90,39,0.0000,0.0000,0.0000,1
30,39,159,57,0.0000,0.0000,0.0000,1
31,57,216,75,0.0000,0.0000,0.0000,1
32,75,327,112,0.0000,0.0000,0.0000,1
33,112,530,172,0.0000,0.0000,0.0000,1
34,172,910,281,0.0000,0.0000,0.0000,1
35,281,1616,478,0.0952,0.0727,0.1162,0
36,478,2246,649,0.0256,0.0184,0.0793,0
37,649,3987,1079,0.0256,0.0266,0.0781,0
38,1079,7145,1781,0.0266,0.0348,0.0925,0
39,1781,12426,2919,0.0297,0.0502,0.0938,0
40,2919,12033,3389,0.0338,0.0543,0.1052,0
41,3389,19063,4714,0.0379,0.0758,0.1408,0
42,4714,29321,6540,0.0492,0.1116,0.2108,0
43,6540,44560,9461,0.0645,0.1628,0.2803,0
44,9461,39131,10523,0.0850,0.1618,0.2281,0
45,10523,60740,13502,0.0911,0.2243,0.3389,0
46,13502,96179,19592,0.1137,0.3338,0.4932,0
47,19592,152323,29306,0.1556,0.5161,0.7163,0
48,29306,231346,42836,0.2253,0.7813,1.0636,0
49,42836,343755,60156,0.3226,1.1592,1.5539,0
50,60156,487341,81768,0.4485,1.6415,2.1944,0
51,81768,660106,106835,0.6042,2.2262,2.9969,0
52,106835,845653,133339,0.7864,2.8621,3.8739,0
53,133339,1039258,158416,0.9810,3.5256,4.7636,0
54,158416,1212123,177764,1.3343,4.1277,5.6178,0
55,177764,1338195,193424,1.5002,4.5578,6.0959,0
56,193424,1419745,201652,1.6251,4.8415,6.3947,0
57,201652,1453731,202096,1.6876,4.9572,6.4764,0
58,202096,1432562,195195,1.6824,4.8814,6.3364,0
59,195195,1364104,182439,1.6108,4.6408,5.9677,0
60,182439,1243653,164997,1.4868,4.2363,5.4149,0
61,164997,1120249,144502,1.3199,3.8011,4.8557,0
62,144502,975967,123975,1.0127,3.2911,4.1219,0
63,123975,825791,102790,0.8561,2.7812,3.4303,0
64,102790,666722,82018,0.6984,2.2477,2.7154,0
65,82018,526805,64065,0.5478,1.7725,2.1035,0
66,64065,400885,48377,0.4219,1.3496,1.5623,0
67,48377,293155,35217,0.3164,0.9912,1.1322,0
68,35217,205482,24608,0.2304,0.6984,0.7973,0
69,24608,137467,16433,0.1608,0.4710,0.5361,0
70,16433,87338,10432,0.1096,0.3021,0.3569,0
71,10432,52354,6252,0.0737,0.1843,0.2402,0
72,6252,29343,3504,0.0502,0.1065,0.1552,0
73,3504,15184,1812,0.0348,0.0604,0.1026,0
74,1812,7118,848,0.0215,0.0328,0.0895,0
75,848,2946,351,0.0184,0.0215,0.0801,0
76,351,1046,126,0.0184,0.0143,0.0762,0
77,126,304,37,0.0000,0.0000,0.0000,1
78,37,65,8,0.0000,0.0000,0.0000,1
79,8,8,1,0.0000,0.0000,0.0000,1
