Predecessor TID, Predecessor JID, Successor TID, Successor JID, Sus min, Sus max
0,0,0,1,0,0
0,1,0,2,0,0
0,2,0,3,0,0
0,3,0,4,0,0
1,5,1,6,0,0
1,6,1,7,0,0
1,7,1,8,0,0
1,8,1,9,0,0
2,10,2,11,0,0
2,11,2,12,0,1
2,12,2,13,0,1
2,13,2,14,0,0
3,15,3,16,0,0
3,16,3,17,1,2
3,17,3,18,2,4
3,18,3,19,0,1
4,20,4,21,0,1
4,21,4,22,0,1
4,22,4,23,1,2
4,23,4,24,1,2
5,25,5,26,0,1
5,26,5,27,0,1
5,27,5,28,2,3
5,28,5,29,0,1
6,30,6,31,0,0
6,31,6,32,0,1
6,32,6,33,0,0
6,33,6,34,0,1
7,35,7,36,4,9
7,36,7,37,2,3
7,37,7,38,4,8
7,38,7,39,3,6
8,40,8,41,0,0
8,41,8,42,1,2
8,42,8,43,0,0
8,43,8,44,1,2
9,45,9,46,0,1
9,46,9,47,0,1
9,47,9,48,0,1
9,48,9,49,1,2
10,50,10,51,0,0
10,51,10,52,0,0
10,52,10,53,0,0
10,53,10,54,0,0
11,55,11,56,1,2
11,56,11,57,4,8
11,57,11,58,5,10
11,58,11,59,0,0
12,60,12,61,1,2
12,61,12,62,2,3
12,62,12,63,2,5
12,63,12,64,2,5
13,65,13,66,0,1
13,66,13,67,0,0
13,67,13,68,0,0
13,68,13,69,0,0
14,70,14,71,2,4
14,71,14,72,2,4
14,72,14,73,2,5
14,73,14,74,2,3
15,75,15,76,0,0
15,76,15,77,0,0
15,77,15,78,0,0
15,78,15,79,0,1
